Datetime,Adj Close,Close,High,Low,Open,Volume
2026-08-21 00:00:00+00:00,73048.6796875,73048.6796875,73106.4765625,73010.2734375,73010.2734375,0
2026-08-21 00:01:00+00:00,73117.9375,73117.9375,73119.546875,73053.7421875,73055.8203125,0
2026-08-21 00:02:00+00:00,73121.75,73121.75,73146.0625,73052.171875,73146.0625,0
2026-08-21 00:03:00+00:00,73100.890625,73100.890625,73142.6328125,73100.890625,73142.6328125,0
2026-08-21 00:04:00+00:00,73093.921875,73093.921875,73118.2578125,73076.5234375,73084.8984375,0
2026-08-21 00:05:00+00:00,73149.6015625,73149.6015625,73152.703125,73070.921875,73070.921875,0
2026-08-21 00:06:00+00:00,73265.03125,73265.03125,73281.828125,73156.7265625,73156.7265625,0
2026-08-21 00:07:00+00:00,73250.5078125,73250.5078125,73342.6171875,73240.328125,73303.09375,4464640
2026-08-21 00:08:00+00:00,73201.2265625,73201.2265625,73253.9921875,73196.9375,73253.9921875,0
2026-08-21 00:09:00+00:00,73265.6015625,73265.6015625,73265.6015625,73167.0,73167.0,0
2026-08-21 00:10:00+00:00,73316.640625,73316.640625,73325.609375,73259.34375,73259.34375,6774784
2026-08-21 00:11:00+00:00,73295.7578125,73295.7578125,73313.15625,73276.8125,73309.6875,0
2026-08-21 00:12:00+00:00,73372.3125,73372.3125,73372.3125,73292.28125,73292.28125,0
2026-08-21 00:13:00+00:00,73334.9375,73334.9375,73434.5,73330.09375,73365.3671875,21716992
2026-08-21 00:14:00+00:00,73478.6484375,73478.6484375,73478.6484375,73268.6875,73268.6875,18804736
2026-08-21 00:15:00+00:00,73346.5390625,73346.5390625,73454.8125,73346.5390625,73441.921875,22446080
2026-08-21 00:16:00+00:00,73421.03125,73421.03125,73434.953125,73360.0,73360.0,0
2026-08-21 00:17:00+00:00,73449.140625,73449.140625,73467.9609375,73396.7421875,73430.703125,0
2026-08-21 00:18:00+00:00,73682.046875,73682.046875,73833.34375,73455.2890625,73455.2890625,0
2026-08-21 00:19:00+00:00,73638.4609375,73638.4609375,73825.1015625,73638.4609375,73667.03125,0
2026-08-21 00:20:00+00:00,73640.2734375,73640.2734375,73643.75,73584.6015625,73584.6015625,91930624
2026-08-21 00:21:00+00:00,73709.8828125,73709.8828125,73742.609375,73657.671875,73657.671875,62136320
2026-08-21 00:22:00+00:00,73706.40625,73706.40625,73741.1875,73689.4921875,73741.1875,0
2026-08-21 00:23:00+00:00,73803.4921875,73803.4921875,73803.4921875,73697.7109375,73709.09375,242860032
2026-08-21 00:24:00+00:00,73773.2578125,73773.2578125,73833.1328125,73748.203125,73748.203125,30015488
2026-08-21 00:25:00+00:00,73820.640625,73820.640625,73835.703125,73782.96875,73800.359375,0
2026-08-21 00:26:00+00:00,73824.71875,73824.71875,73840.2421875,73793.3984375,73808.421875,0
2026-08-21 00:27:00+00:00,73855.703125,73855.703125,73856.1484375,73805.75,73850.4609375,72822784
2026-08-21 00:28:00+00:00,73855.6171875,73855.6171875,73855.6171875,73793.6484375,73814.28125,0
2026-08-21 00:29:00+00:00,73699.4296875,73699.4296875,73820.7109375,73669.171875,73807.328125,141578240
2026-08-21 00:30:00+00:00,73734.078125,73734.078125,73776.0,73673.84375,73694.390625,0
2026-08-21 00:31:00+00:00,73888.609375,73888.609375,73916.3515625,73737.71875,73742.53125,0
2026-08-21 00:32:00+00:00,73836.2578125,73836.2578125,73945.1796875,73817.640625,73882.8515625,246333440
2026-08-21 00:33:00+00:00,73751.6328125,73751.6328125,73852.5625,73750.3671875,73852.5625,0
2026-08-21 00:34:00+00:00,73726.5,73726.5,73732.2421875,73676.078125,73727.2890625,0
2026-08-21 00:35:00+00:00,73690.0625,73690.0625,73751.640625,73680.0,73716.6015625,47058944
2026-08-21 00:36:00+00:00,73577.3203125,73577.3203125,73684.6484375,73577.3203125,73684.6484375,0
2026-08-21 00:37:00+00:00,73528.9375,73528.9375,73608.9609375,73515.59375,73583.6875,12845056
2026-08-21 00:38:00+00:00,73685.5078125,73685.5078125,73685.5078125,73518.4921875,73518.4921875,0
2026-08-21 00:39:00+00:00,73625.0,73625.0,73711.4765625,73620.5078125,73711.4765625,0
2026-08-21 00:40:00+00:00,73553.28125,73553.28125,73617.4375,73551.3828125,73617.4375,14147584
2026-08-21 00:41:00+00:00,73546.328125,73546.328125,73584.6015625,73518.4765625,73578.328125,0
2026-08-21 00:42:00+00:00,73601.1796875,73601.1796875,73601.1796875,73530.0,73546.3203125,12222464
2026-08-21 00:43:00+00:00,73699.4375,73699.4375,73706.703125,73657.6875,73677.359375,19095552
2026-08-21 00:44:00+00:00,73685.0234375,73685.0234375,73705.84375,73676.9375,73694.8125,78839808
2026-08-21 00:45:00+00:00,73642.6328125,73642.6328125,73692.46875,73642.6328125,73673.9921875,0
2026-08-21 00:46:00+00:00,73640.1015625,73640.1015625,73640.1015625,73602.0078125,73629.9375,9146368
2026-08-21 00:47:00+00:00,73612.4296875,73612.4296875,73644.171875,73591.5625,73644.171875,0
2026-08-21 00:48:00+00:00,73743.046875,73743.046875,73772.5078125,73647.2421875,73647.2421875,167395328
2026-08-21 00:49:00+00:00,73736.328125,73736.328125,73796.8671875,73730.7578125,73730.7578125,0
2026-08-21 00:50:00+00:00,73732.6484375,73732.6484375,73737.71875,73692.4765625,73737.71875,0
2026-08-21 00:51:00+00:00,73744.6796875,73744.6796875,73772.90625,73734.1171875,73734.1171875,33693696
2026-08-21 00:52:00+00:00,73786.4375,73786.4375,73828.859375,73751.859375,73778.59375,85577728
2026-08-21 00:53:00+00:00,73748.2109375,73748.2109375,73780.203125,73748.171875,73780.203125,0
2026-08-21 00:54:00+00:00,73640.28125,73640.28125,73757.953125,73640.28125,73757.953125,0
2026-08-21 00:55:00+00:00,73619.40625,73619.40625,73652.046875,73575.171875,73633.328125,0
2026-08-21 00:56:00+00:00,73636.046875,73636.046875,73657.8515625,73578.5234375,73605.4765625,0
2026-08-21 00:57:00+00:00,73650.703125,73650.703125,73661.28125,73619.3984375,73633.3203125,0
2026-08-21 00:58:00+00:00,73698.3828125,73698.3828125,73702.1171875,73660.0234375,73660.0234375,7610368
2026-08-21 00:59:00+00:00,73692.40625,73692.40625,73692.46875,73666.046875,73680.0234375,0
2026-08-21 01:00:00+00:00,73675.0703125,73675.0703125,73678.546875,73650.7265625,73658.7734375,0
2026-08-21 01:01:00+00:00,73729.9609375,73729.9609375,73729.9609375,73648.796875,73689.0,0
2026-08-21 01:02:00+00:00,73800.3671875,73800.3671875,73821.2265625,73758.5234375,73758.5234375,0
2026-08-21 01:03:00+00:00,73863.0,73863.0,73863.0,73800.3671875,73817.7578125,0
2026-08-21 01:04:00+00:00,73817.8671875,73817.8671875,73905.859375,73817.8671875,73859.53125,0
2026-08-21 01:05:00+00:00,73808.7578125,73808.7578125,73838.640625,73783.421875,73793.3984375,0
2026-08-21 01:06:00+00:00,73869.9375,73869.9375,73869.9375,73807.328125,73814.8515625,0
2026-08-21 01:07:00+00:00,73859.5234375,73859.5234375,73874.2421875,73842.8515625,73859.5234375,19812352
2026-08-21 01:08:00+00:00,73856.03125,73856.03125,73912.953125,73844.4375,73869.9609375,0
2026-08-21 01:09:00+00:00,73911.71875,73911.71875,73911.71875,73849.078125,73861.390625,0
2026-08-21 01:10:00+00:00,73927.75,73927.75,73940.21875,73908.2265625,73908.2265625,6053888
2026-08-21 01:11:00+00:00,73932.59375,73932.59375,73932.59375,73889.78125,73895.6796875,0
2026-08-21 01:12:00+00:00,73905.0,73905.0,73963.90625,73905.0,73946.296875,552349696
2026-08-21 01:13:00+00:00,73961.1484375,73961.1484375,73969.2265625,73908.84375,73908.84375,0
2026-08-21 01:14:00+00:00,73943.03125,73943.03125,73953.4765625,73900.0,73953.4765625,0
2026-08-21 01:15:00+00:00,73946.421875,73946.421875,73971.7421875,73932.609375,73971.7421875,0
2026-08-21 01:16:00+00:00,74080.1015625,74080.1015625,74080.1015625,73936.0703125,73936.0703125,0
2026-08-21 01:17:00+00:00,74193.6015625,74193.6015625,74193.6015625,74060.0078125,74177.0078125,7598080
2026-08-21 01:18:00+00:00,74584.3671875,74584.3671875,74773.6796875,74242.53125,74242.53125,6246400
2026-08-21 01:19:00+00:00,74646.0,74646.0,74714.90625,74538.1875,74538.1875,0
2026-08-21 01:20:00+00:00,74506.25,74506.25,74660.921875,74501.0078125,74644.2109375,56205312
2026-08-21 01:21:00+00:00,74395.453125,74395.453125,74611.6484375,74350.84375,74472.0,0
2026-08-21 01:22:00+00:00,74287.6171875,74287.6171875,74403.6796875,74287.6171875,74341.5625,0
2026-08-21 01:23:00+00:00,74399.2265625,74399.2265625,74452.578125,74252.7578125,74252.7578125,0
2026-08-21 01:24:00+00:00,74499.8515625,74499.8515625,74543.3671875,74378.0390625,74408.3125,0
2026-08-21 01:25:00+00:00,74527.671875,74527.671875,74577.21875,74468.53125,74475.4765625,31748096
2026-08-21 01:26:00+00:00,74528.1171875,74528.1171875,74544.8984375,74497.75,74502.25,0
2026-08-21 01:27:00+00:00,74698.6875,74698.6875,74698.6875,74529.1171875,74529.1171875,0
2026-08-21 01:28:00+00:00,74724.546875,74724.546875,74724.546875,74635.5703125,74714.8671875,0
2026-08-21 01:29:00+00:00,74708.890625,74708.890625,74757.140625,74708.890625,74729.5390625,15134720
2026-08-21 01:30:00+00:00,74642.5234375,74642.5234375,74719.078125,74583.5078125,74719.078125,662589440
2026-08-21 01:31:00+00:00,74762.2109375,74762.2109375,74939.296875,74642.640625,74642.640625,12288000
2026-08-21 01:32:00+00:00,74895.109375,74895.109375,74897.4296875,74743.4609375,74780.890625,1636732928
2026-08-21 01:33:00+00:00,74727.546875,74727.546875,74964.171875,74727.546875,74964.171875,0
2026-08-21 01:34:00+00:00,74755.2890625,74755.2890625,74826.0703125,74662.421875,74723.6484375,95903744
2026-08-21 01:35:00+00:00,74681.28125,74681.28125,74739.9765625,74681.28125,74715.6015625,0
2026-08-21 01:36:00+00:00,74597.2578125,74597.2578125,74665.421875,74590.328125,74646.0,106102784
2026-08-21 01:37:00+00:00,74637.4609375,74637.4609375,74668.6171875,74555.53125,74586.859375,15798272
2026-08-21 01:38:00+00:00,74528.328125,74528.328125,74611.203125,74520.71875,74611.203125,0
2026-08-21 01:39:00+00:00,74581.28125,74581.28125,74581.28125,74534.640625,74551.71875,168845312
2026-08-21 01:40:00+00:00,74567.8671875,74567.8671875,74637.7265625,74567.8671875,74618.1484375,28499968
2026-08-21 01:41:00+00:00,74527.6875,74527.6875,74599.6015625,74520.7265625,74559.6328125,183570432
2026-08-21 01:42:00+00:00,74746.90625,74746.90625,74767.8984375,74565.9609375,74590.8203125,0
2026-08-21 01:43:00+00:00,74749.9921875,74749.9921875,74759.4296875,74695.5078125,74748.3671875,21073920
2026-08-21 01:44:00+00:00,74716.5,74716.5,74739.921875,74701.3828125,74733.0,68681728
2026-08-21 01:45:00+00:00,74726.0390625,74726.0390625,74754.78125,74697.1796875,74731.6171875,0
2026-08-21 01:46:00+00:00,74820.7578125,74820.7578125,74840.8671875,74689.609375,74689.609375,643072
2026-08-21 01:47:00+00:00,75312.34375,75312.34375,75462.2109375,74826.9609375,74826.9609375,0
2026-08-21 01:48:00+00:00,75376.796875,75376.796875,75704.40625,75361.34375,75361.34375,259141632
2026-08-21 01:49:00+00:00,75571.2890625,75571.2890625,75582.203125,75348.9609375,75348.9609375,606208
2026-08-21 01:50:00+00:00,75394.0625,75394.0625,75529.921875,75394.0625,75529.921875,22347776
2026-08-21 01:51:00+00:00,75531.3203125,75531.3203125,75566.53125,75411.6015625,75411.6015625,0
2026-08-21 01:52:00+00:00,75430.7578125,75430.7578125,75557.75,75403.34375,75557.75,0
2026-08-21 01:53:00+00:00,75404.6796875,75404.6796875,75486.546875,75394.9375,75449.8828125,499781632
2026-08-21 01:54:00+00:00,75373.296875,75373.296875,75406.8671875,75359.640625,75390.1484375,0
2026-08-21 01:55:00+00:00,75364.2109375,75364.2109375,75364.2109375,75298.90625,75341.578125,0
2026-08-21 01:56:00+00:00,75260.453125,75260.453125,75368.8828125,75260.453125,75364.203125,109137920
2026-08-21 01:57:00+00:00,75118.3984375,75118.3984375,75244.5625,75100.0,75244.5625,0
2026-08-21 01:58:00+00:00,75144.5625,75144.5625,75164.5078125,75077.5234375,75126.859375,20344832
2026-08-21 01:59:00+00:00,75107.890625,75107.890625,75161.1875,75061.2265625,75137.6328125,302366720
2026-08-21 02:00:00+00:00,75031.6015625,75031.6015625,75109.6484375,74962.9921875,75107.1328125,0
2026-08-21 02:01:00+00:00,74939.2265625,74939.2265625,75004.4375,74888.84375,74984.2890625,0
2026-08-21 02:02:00+00:00,74858.2890625,74858.2890625,74924.3984375,74830.5234375,74924.3984375,10596352
2026-08-21 02:03:00+00:00,74911.4296875,74911.4296875,74911.4296875,74773.2109375,74811.890625,0
2026-08-21 02:04:00+00:00,75043.0390625,75043.0390625,75043.0390625,74910.4765625,74910.4765625,66670592
2026-08-21 02:05:00+00:00,74980.078125,74980.078125,75014.8828125,74868.71875,75014.8828125,55533568
2026-08-21 02:06:00+00:00,75144.6328125,75144.6328125,75144.6328125,74974.296875,74974.296875,0
2026-08-21 02:07:00+00:00,75039.2421875,75039.2421875,75155.9765625,75035.7734375,75155.9765625,30404608
2026-08-21 02:08:00+00:00,74950.75,74950.75,75035.7265625,74950.75,75035.7265625,218353664
2026-08-21 02:09:00+00:00,74890.46875,74890.46875,74958.5078125,74882.6484375,74950.75,0
2026-08-21 02:10:00+00:00,74753.890625,74753.890625,74893.078125,74753.890625,74893.078125,4399104
2026-08-21 02:11:00+00:00,74735.2109375,74735.2109375,74788.5,74735.2109375,74741.9609375,0
2026-08-21 02:12:00+00:00,74709.6171875,74709.6171875,74780.4765625,74709.6171875,74753.8671875,156258304
2026-08-21 02:13:00+00:00,74762.9921875,74762.9921875,74762.9921875,74653.328125,74709.6796875,0
2026-08-21 02:14:00+00:00,74852.3828125,74852.3828125,74852.3828125,74729.140625,74729.140625,38842368
2026-08-21 02:15:00+00:00,74746.90625,74746.90625,74847.796875,74740.0,74820.0,0
2026-08-21 02:16:00+00:00,74753.8828125,74753.8828125,74753.8828125,74654.296875,74743.453125,0
2026-08-21 02:17:00+00:00,74765.65625,74765.65625,74875.671875,74715.6015625,74715.6015625,0
2026-08-21 02:18:00+00:00,74719.6328125,74719.6328125,74760.828125,74698.171875,74739.9609375,0
2026-08-21 02:19:00+00:00,74698.8671875,74698.8671875,74773.4921875,74698.8671875,74703.78125,0
2026-08-21 02:20:00+00:00,74726.0390625,74726.0390625,74726.0390625,74635.3125,74687.7734375,0
2026-08-21 02:21:00+00:00,74745.8671875,74745.8671875,74753.09375,74710.171875,74710.171875,0
2026-08-21 02:22:00+00:00,74692.65625,74692.65625,74748.7265625,74673.84375,74748.7265625,21864448
2026-08-21 02:23:00+00:00,74680.0,74680.0,74740.5703125,74673.8828125,74692.65625,0
