date,predicted,actual,signal,position,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2026-07-02 19:00:00+00:00,0.00013150896,-0.004274145787910498,BUY,1,-0.004274145787910498,-0.004274145787910498,0.9957349753735125,0.9957349753735125
2026-07-02 20:00:00+00:00,0.00013448337,0.0012331832469860433,BUY,1,0.0012331832469860433,0.0012331832469860433,0.9969636565023644,0.9969636565023644
2026-07-02 21:00:00+00:00,0.00013805351,8.534580741999072e-05,BUY,1,8.534580741999072e-05,8.534580741999072e-05,0.9970487468015955,0.9970487468015955
2026-07-02 22:00:00+00:00,0.00012503554,-0.001935023397690562,BUY,1,-0.001935023397690562,-0.001935023397690562,0.9951212995770492,0.9951212995770492
2026-07-02 23:00:00+00:00,0.00011129656,0.0013978076675076757,BUY,1,0.0013978076675076757,0.0013978076675076757,0.9965132603797976,0.9965132603797976
2026-07-03 00:00:00+00:00,0.000114527735,-0.004286261624464422,BUY,1,-0.004286261624464422,-0.004286261624464422,0.9922510847588647,0.9922510847588647
2026-07-03 01:00:00+00:00,0.00012438113,0.0046041290139342906,BUY,1,0.0046041290139342906,0.0046041290139342906,0.9968300697974704,0.9968300697974704
2026-07-03 02:00:00+00:00,0.00014228467,-0.002450647613240879,BUY,1,-0.002450647613240879,-0.002450647613240879,0.9943901814405014,0.9943901814405014
2026-07-03 03:00:00+00:00,0.00015662187,-3.438152851440822e-05,BUY,1,-3.438152851440822e-05,-3.438152851440822e-05,0.9943559933738461,0.9943559933738461
2026-07-03 04:00:00+00:00,0.00012982228,0.00024612021778995177,BUY,1,0.00024612021778995177,0.00024612021778995177,0.9946007546066045,0.9946007546066045
2026-07-03 05:00:00+00:00,7.780299e-05,0.004183423195379128,BUY,1,0.004183423195379128,0.004183423195379128,0.9987703058913953,0.9987703058913953
2026-07-03 06:00:00+00:00,2.3529425e-05,0.0001272139999485344,BUY,1,0.0001272139999485344,0.0001272139999485344,0.9988973715391308,0.9988973715391308
