date,predicted,actual,signal,position,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2026-01-07,-7.9730526e-05,-0.007367304357957669,AVOID,0,-0.0,-0.007367304357957669,1.0,0.9926597677052874
2026-01-08,-6.193394e-05,8.998553214307117e-05,AVOID,0,0.0,8.998553214307117e-05,1.0,0.9927490967418215
2026-01-09,-4.8345013e-05,0.009082749101682023,AVOID,0,0.0,0.009082749101682023,1.0,1.0018070610463745
2026-01-12,-5.0884293e-05,0.025071135876622564,AVOID,0,0.0,0.025071135876622564,1.0,1.0272409986289084
2026-01-13,-5.826875e-05,-0.003284847544970745,AVOID,0,-0.0,-0.003284847544970745,1.0,1.0238722045730804
2026-01-14,-6.3604326e-05,0.008051610829708839,AVOID,0,0.0,0.008051610829708839,1.0,1.0321493023729063
2026-01-15,-6.83385e-05,-0.002163894212595402,AVOID,0,-0.0,-0.002163894212595402,1.0,1.0299182552165436
2026-01-16,-7.525468e-05,-0.0060621179774391735,AVOID,0,-0.0,-0.0060621179774391735,1.0,1.0236936554378617
2026-01-20,-8.2101964e-05,0.036632293474919336,AVOID,0,0.0,0.036632293474919336,1.0,1.0618892263299298
2026-01-21,-8.8996836e-05,0.015055377008505682,AVOID,0,0.0,0.015055377008505682,1.0,1.0779973214361582
2026-01-22,-8.255895e-05,0.015810444337397162,AVOID,0,0.0,0.015810444337397162,1.0,1.0951763845401508
2026-01-23,-7.224287e-05,0.013637113842028292,AVOID,0,0.0,0.013637113842028292,1.0,1.1102137295243144
2026-01-26,-6.197448e-05,0.02058565637353524,AVOID,0,0.0,0.02058565637353524,1.0,1.1333050675926677
2026-01-27,-5.4185424e-05,3.931395514705028e-05,AVOID,0,0.0,3.931395514705028e-05,1.0,1.1333496231730853
2026-01-28,-4.708706e-05,0.04271712307880896,AVOID,0,0.0,0.04271712307880896,1.0,1.1828119822047847
2026-01-29,-3.857608e-05,0.0031638076649501356,AVOID,0,0.0,0.0031638076649501356,1.0,1.186560097852334
2026-01-30,-1.07208325e-05,-0.1206569177115754,AVOID,0,-0.0,-0.1206569177115754,1.0,1.0516932972502127
2026-02-02,5.4413395e-06,-0.0195798858862585,BUY,1,-0.0195798858862585,-0.0195798858862585,0.9806105551163049,1.0313015480286283
2026-02-03,7.647631e-05,0.05905437776175919,BUY,1,0.05905437776175919,0.05905437776175919,1.040263963363834,1.0940386376406852
2026-02-04,0.0001466463,0.0033997461243729043,BUY,1,0.0033997461243729043,0.0033997461243729043,1.0438066153881054,1.097764421029101
2026-02-05,0.00022463028,-0.012063365980342067,BUY,1,-0.012063365980342067,-0.012063365980342067,1.0312904395629323,1.0846012428065617
2026-02-06,0.00026023656,0.018303568705588632,BUY,1,0.018303568705588632,0.018303568705588632,1.050340545595965,1.1046361116334078
2026-02-09,0.0002789375,0.01993641500519393,BUY,1,0.01993641500519393,0.01993641500519393,1.0714906992048014,1.1268795864196335
2026-02-10,0.00028713132,-0.009368841148208894,BUY,1,-0.009368841148208894,-0.009368841148208894,1.0614989516853364,1.1163713325255957
2026-02-11,0.00029174745,0.013458784179660236,BUY,1,0.013458784179660236,0.013458784179660236,1.0758820091055925,1.131497897608444
2026-02-12,0.0002729282,-0.02959604886955879,BUY,1,-0.02959604886955879,-0.02959604886955879,1.0445067348299946,1.0985007319534106
2026-02-13,0.0002540663,0.01976794067778529,BUY,1,0.01976794067778529,0.01976794067778529,1.0653599151528574,1.1204318819253154
2026-02-17,0.00023218975,-0.028088975078812035,BUY,1,-0.028088975078812035,-0.028088975078812035,1.0358514188890549,1.0893979941927414
2026-02-18,0.00021729169,0.020994975203204404,BUY,1,0.020994975203204404,0.020994975203204404,1.0578289958004228,1.1125116645202282
2026-02-19,0.00020612241,-0.0021280217137131566,BUY,1,-0.0021280217137131566,-0.0021280217137131566,1.0555803062067004,1.110146732746914
2026-02-20,0.00019906822,0.016621856057854087,BUY,1,0.016621856057854087,0.016621856057854087,1.0732726425039314,1.1287536442434085
2026-02-23,0.00019228505,0.028334005840505903,BUY,1,0.028334005840505903,0.028334005840505903,1.104117673929547,1.1611931570472007
2026-02-24,0.00018984584,-0.009439844361431814,BUY,1,-0.009439844361431814,-0.009439844361431814,1.093744014828155,1.1502832493023079
2026-02-25,0.0001919815,0.009766362602618253,BUY,1,0.009766362602618253,0.009766362602618253,1.104478247354198,1.1615723697010727
2026-02-26,0.00018671843,-0.0057594670615880765,BUY,1,-0.0057594670615880765,-0.0057594670615880765,1.098135324728946,1.1549015604911184
2026-02-27,0.00018097764,0.010377723577647786,BUY,1,0.010377723577647786,0.010377723577647786,1.109590807687579,1.1669492151354766
2026-03-02,0.00016856732,0.012142763938335153,BUY,1,0.012142763938335153,0.012142763938335153,1.1231464418053037,1.181205584677064
2026-03-03,0.0001561177,-0.0359591903930027,BUY,1,-0.0359591903930027,-0.0359591903930027,1.0834765285967045,1.1394850028530827
2026-03-04,0.00014555137,0.0025030895869677847,BUY,1,0.0025030895869677847,0.0025030895869677847,1.0861919644850198,1.1423408085759366
2026-03-05,0.0001437724,-0.01078021153640931,BUY,1,-0.01078021153640931,-0.01078021153640931,1.0745454739437796,1.1300922725372262
2026-03-06,0.00014109584,0.015825837818907902,BUY,1,0.015825837818907902,0.015825837818907902,1.0916863328170399,1.148119198923346
2026-03-09,0.00013814459,-0.010666682586894306,BUY,1,-0.010666682586894306,-0.010666682586894306,1.0801035459977646,1.1359376596620359
2026-03-10,0.00013758369,0.02678146977213648,BUY,1,0.02678146977213648,0.02678146977213648,1.1094211382622474,1.166770774938107
2026-03-11,0.00013730535,-0.01198431063117268,BUY,1,-0.01198431063117268,-0.01198431063117268,1.0962048429951854,1.1528712857912584
2026-03-12,0.00014291935,-0.010035890037833716,BUY,1,-0.010035890037833716,-0.010035890037833716,1.0852584718958342,1.1413590606768573
2026-03-13,0.00014729363,-0.012450581437074204,BUY,1,-0.012450581437074204,-0.012450581437074204,1.071830141638752,1.1272365757522216
2026-03-16,0.00014284991,-0.011645978438057513,BUY,1,-0.011645978438057513,-0.011645978438057513,1.059420035100233,1.1141849498875003
2026-03-17,0.0001363772,0.0014007005791852262,BUY,1,0.0014007005791852262,0.0014007005791852262,1.060905005113389,1.115746682896954
2026-03-18,0.000118213444,-0.022466059027850406,BUY,1,-0.022466059027850406,-0.022466059027850406,1.037336388902211,1.0909597272021954
2026-03-19,9.6378324e-05,-0.0609633251253208,BUY,1,-0.0609633251253208,-0.0609633251253208,0.9759859756515054,1.0264379088028976
2026-03-20,7.050997e-05,-0.006607801222592188,BUY,1,-0.006607801222592188,-0.006607801222592188,0.9695581147302998,1.019677770556409
2026-03-23,5.0875213e-05,-0.037064759654085296,BUY,1,-0.037064759654085296,-0.037064759654085296,0.9342795114224919,0.9825754999212383
2026-03-24,3.9589853e-05,-0.001090554444362892,BUY,1,-0.001090554444362892,-0.001090554444362892,0.9332611841206407,0.9815045319234746
2026-03-25,3.4336874e-05,0.03363784006254085,BUY,1,0.03363784006254085,0.03363784006254085,0.9651880394034973,1.0150817916267323
2026-03-26,3.452794e-05,-0.03906243403134702,BUY,1,-0.03906243403134702,-0.03906243403134702,0.9282123275092251,0.9761946832664714
2026-03-27,5.274068e-05,0.026277237882447974,BUY,1,0.026277237882447974,0.026277237882447974,0.952926471299609,1.0021863826380961
2026-03-30,7.370248e-05,0.007540510335148854,BUY,1,0.007540510335148854,0.007540510335148854,0.9601391827920815,1.009771942969729
2026-03-31,0.00010811011,0.026512431127413087,BUY,1,0.026512431127413087,0.026512431127413087,0.9859352540229939,1.0369014981786686
2026-04-01,0.00012400883,0.02875884107881785,BUY,1,0.02875884107881785,0.02875884107881785,1.0147012652802185,1.0671545194065157
2026-04-02,0.00013554662,-0.02792007119110018,BUY,1,-0.02792007119110018,-0.02792007119110018,0.9867625737422376,1.03777158478208
2026-04-06,0.0001383499,0.0011387268075569185,BUY,1,0.0011387268075569185,0.0011387268075569185,0.987886866747455,1.0389539961998127
2026-04-07,0.00014194648,6.448275631096513e-05,BUY,1,6.448275631096513e-05,6.448275631096513e-05,0.98795057046942,1.039020992977213
2026-04-08,0.00014128665,0.01964639155775591,BUY,1,0.01964639155775591,0.01964639155775591,1.0075521539264232,1.059635846914434
2026-04-09,0.00012859218,0.00895028757749345,BUY,1,0.00895028757749345,0.00895028757749345,1.0166105124399907,1.0691624618472422
2026-04-10,0.00011451388,-0.006342909169258469,BUY,1,-0.006342909169258469,-0.006342909169258469,1.010182651518785,1.0624023236007536
2026-04-13,0.00010211705,-0.004103411668917365,BUY,1,-0.004103411668917365,-0.004103411668917365,1.0060459493392786,1.0580517816458466
2026-04-14,9.022615e-05,0.017267418703531354,BUY,1,0.017267418703531354,0.017267418703531354,1.0235686162111783,1.0764802529449717
2026-04-15,7.4200274e-05,-0.005194816877104023,BUY,1,-0.005194816877104023,-0.005194816877104023,1.0182651518784778,1.0709026350540651
2026-04-16,5.4794742e-05,-0.003046322343529432,BUY,1,-0.003046322343529432,-0.003046322343529432,1.0151679079915232,1.0676452844182058
2026-04-17,3.6371872e-05,0.014974913312609497,BUY,1,0.014974913312609497,0.014974913312609497,1.0304843544176772,1.083753488462284
2026-04-20,2.1147425e-05,-0.010554515098820284,BUY,1,-0.010554515098820284,-0.010554515098820284,1.0196652871789684,1.0723751479648345
2026-04-21,9.738695e-06,-0.022767989342933774,BUY,1,-0.022767989342933774,-0.022767989342933774,0.9967118521137259,1.0482351741578508
2026-04-22,1.5858968e-06,0.007231599660169754,BUY,1,0.007231599660169754,0.007231599660169754,1.003945798180187,1.0558430667486174
2026-04-23,-9.652867e-07,-0.00580655654933497,AVOID,0,-0.0,-0.00580655654933497,1.003945798180187,1.0497300193277537
2026-04-24,-1.6287377e-06,0.003648880135128687,AVOID,0,0.0,0.003648880135128687,1.003945798180187,1.0535673550739877
2026-04-27,-5.553389e-06,-0.00998122799658474,AVOID,0,-0.0,-0.00998122799658474,1.003945798180187,1.043103765698217
2026-04-28,-9.431213e-06,-0.01810793161911003,AVOID,0,-0.0,-0.01810793161911003,1.003945798180187,1.0243853018439042
2026-04-29,-1.2828212e-05,-0.010134994038567446,AVOID,0,-0.0,-0.010134994038567446,1.003945798180187,1.014055597085085
2026-04-30,-1.9472413e-05,0.015175128715866765,AVOID,0,0.0,0.015175128715866765,1.003945798180187,1.0295613748218053
2026-05-01,-2.677535e-05,0.0032883457515008366,AVOID,0,0.0,0.0032883457515008366,1.003945798180187,1.0329525011367668
2026-05-04,-2.8641894e-05,-0.024133880243911433,AVOID,0,-0.0,-0.024133880243911433,1.003945798180187,1.0083217623180933
2026-05-05,-3.409502e-05,0.007999735337601302,AVOID,0,0.0,0.007999735337601302,1.003945798180187,1.0164204199205498
2026-05-06,-3.773754e-05,0.027302885994594444,AVOID,0,0.0,0.027302885994594444,1.003945798180187,1.0445539463498525
2026-05-07,-4.0204992e-05,0.0038159234729661404,AVOID,0,0.0,0.0038159234729661404,1.003945798180187,1.0485474989721717
2026-05-08,-3.4344645e-05,0.00437360801983576,AVOID,0,0.0,0.00437360801983576,1.003945798180187,1.0531434779018487
2026-05-11,-3.0886935e-05,-0.0003601417575905551,AVOID,0,-0.0,-0.0003601417575905551,1.003945798180187,1.0527642652479767
2026-05-12,-3.2645185e-05,-0.008748200566985706,AVOID,0,-0.0,-0.008748200566985706,1.003945798180187,1.0435946396477565
2026-05-13,-3.7622463e-05,0.0042878900568158315,AVOID,0,0.0,0.0042878900568158315,1.003945798180187,1.048079066219615
2026-05-14,-4.2887637e-05,-0.004181003348170271,AVOID,0,-0.0,-0.004181003348170271,1.003945798180187,1.0437061920055746
2026-05-15,-5.340154e-05,-0.026490961871465643,AVOID,0,-0.0,-0.026490961871465643,1.003945798180187,1.0164204199205498
2026-05-18,-6.5101805e-05,-0.0007245709743039084,AVOID,0,-0.0,-0.0007245709743039084,1.003945798180187,1.01568421793409
2026-05-19,-7.7875535e-05,-0.01020015827174435,AVOID,0,-0.0,-0.01020015827174435,1.003945798180187,1.0053767364965547
2026-05-20,-8.866176e-05,0.005532456591871891,AVOID,0,0.0,0.005532456591871891,1.003945798180187,1.0109543543874615
2026-05-21,-9.784184e-05,0.0018740842574405403,AVOID,0,0.0,0.0018740842574405403,1.003945798180187,1.0128507444703696
2026-05-22,-0.00010410682,-0.0041497068847259145,AVOID,0,-0.0,-0.0041497068847259145,1.003945798180187,1.0086564193915477
2026-05-26,-0.000108255306,-0.004566948297148642,AVOID,0,-0.0,-0.004566948297148642,1.003945798180187,1.0040604404618707
2026-05-27,-0.00011213112,-0.011824119457466382,AVOID,0,-0.0,-0.011824119457466382,1.003945798180187,0.9922582227922823
2026-05-28,-0.00011554378,0.011579645153313877,AVOID,0,0.0,0.011579645153313877,1.003945798180187,1.003815003487101
2026-05-29,-0.000118193246,0.013510480926909142,AVOID,0,0.0,0.013510480926909142,1.003945798180187,1.01746905565918
2026-06-01,-0.00012131571,-0.018881179529217973,AVOID,0,-0.0,-0.018881179529217973,1.003945798180187,0.9984382669905466
2026-06-02,-0.00012356829,0.00310117087321733,AVOID,0,0.0,0.00310117087321733,1.003945798180187,1.0015394007503209
2026-06-03,-0.00012407653,-0.011741357101359375,AVOID,0,-0.0,-0.011741357101359375,1.003945798180187,0.9898487354385506
2026-06-04,-0.00012304928,0.008774162180750182,AVOID,0,0.0,0.008774162180750182,1.003945798180187,0.9985720426696489
2026-06-05,-0.000121845136,-0.03147911854461129,AVOID,0,-0.0,-0.03147911854461129,1.003945798180187,0.9676274839736089
2026-06-08,-0.00011935533,-0.00027676589880344627,AVOID,0,-0.0,-0.00027676589880344627,1.003945798180187,0.9673597147397056
2026-06-09,-0.00011257586,-0.017660018336772308,AVOID,0,-0.0,-0.017660018336772308,1.003945798180187,0.950426088610483
