date,predicted,actual,signal,position,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2025-11-26,-0.00039879535,0.03572258791333639,AVOID,0,0.0,0.03572258791333639,1.0,1.0363683055149118
2025-11-27,-0.00039720302,0.008437806108495432,AVOID,0,0.0,0.008437806108495432,1.0,1.0451499772535409
2025-11-28,-0.00037428446,-0.004018666774419681,AVOID,0,-0.0,-0.004018666774419681,1.0,1.0409582958921666
2025-11-29,-0.0003905401,-0.00074277862694653,AVOID,0,-0.0,-0.00074277862694653,1.0,1.0401853814061517
2025-11-30,-0.00042419753,-0.005047792573132774,AVOID,0,-0.0,-0.005047792573132774,1.0,1.0349479711643237
2025-12-01,-0.0004801912,-0.04610183805407602,AVOID,0,-0.0,-0.04610183805407602,1.0,0.9883180876301303
2025-12-02,-0.0005413258,0.05662099387030378,AVOID,0,0.0,0.05662099387030378,1.0,1.0458922113010993
2025-12-03,-0.00053745846,0.023558262011831657,AVOID,0,0.0,0.023558262011831657,1.0,1.0708241374011362
2025-12-04,-0.00048067153,-0.014931972865932171,AVOID,0,-0.0,-0.014931972865932171,1.0,1.0549534059848502
2025-12-05,-0.00042440835,-0.030343059975675362,AVOID,0,-0.0,-0.030343059975675362,1.0,1.0234236650118314
2025-12-06,-0.0003884387,-0.0012916460625568118,AVOID,0,-0.0,-0.0012916460625568118,1.0,1.0221026172113503
2025-12-07,-0.00035722146,0.012614572226014349,AVOID,0,0.0,0.012614572226014349,1.0,1.0350776698108601
2025-12-08,-0.00035091594,0.002591195979813834,AVOID,0,0.0,0.002591195979813834,1.0,1.0377632368202474
2025-12-09,-0.00034513907,0.022381192698197744,AVOID,0,0.0,0.022381192698197744,1.0,1.0612514828133195
2025-12-10,-0.00035740144,-0.007262832846635849,AVOID,0,-0.0,-0.007262832846635849,1.0,1.0535717128861959
2025-12-11,-0.00039577938,0.0053149701081481185,AVOID,0,0.0,0.0053149701081481185,1.0,1.059186322571089
2025-12-12,-0.00044962286,-0.024521421452147512,AVOID,0,-0.0,-0.024521421452147512,1.0,1.0335294257605845
2025-12-13,-0.00050744985,0.0003134187556330964,AVOID,0,0.0,0.0003134187556330964,1.0,1.0338534040348981
2025-12-14,-0.00055570935,-0.02379767101791624,AVOID,0,-0.0,-0.02379767101791624,1.0,1.0095405429918813
2025-12-15,-0.00060753094,-0.020108914713088392,AVOID,0,-0.0,-0.020108914713088392,1.0,0.9894425301719305
2025-12-16,-0.0006637842,0.016345736935078115,AVOID,0,0.0,0.016345736935078115,1.0,1.0057486018038668
2025-12-17,-0.00069205405,-0.019544833040854463,AVOID,0,-0.0,-0.019544833040854463,1.0,0.9862822661162198
2025-12-18,-0.0007226843,-0.007939728497768105,AVOID,0,-0.0,-0.007939728497768105,1.0,0.978482457855543
