Threshold,Precision,Recall,F1_Score
-0.1,0.21739130434782608,0.05263157894736842,0.0847457627118644
-0.05,0.1978021978021978,0.18947368421052632,0.1935483870967742
0.0,0.13732394366197184,0.4105263157894737,0.20580474934036938
0.05,0.06844547563805105,0.6210526315789474,0.12330198537095088
0.1,0.03896103896103896,0.7894736842105263,0.07425742574257425
0.15,0.015165699307245834,0.8526315789473684,0.029801324503311258
0.2,0.004064857052526986,0.9473684210526315,0.008094981111710739
